Minis ; ; ; ;; ; ; ; ;; 
MAZDA MX-5;94;0,2;-;24,8;54,3; 2 704;0,3;-;9,5;54,8
MAZDA 3;625;1,1;-;10,6;55,5; 11 016;1,4;-;12,8;57,8
MERCEDES AKLASSE; 2 888;4,9;+;33,9;28; 43 542;5,4;-;15,6;38,6
MITSUBISHI LANCER;147;0,2;-;71,9;33,3; 3 450;0,4;-;26,4;27,3
NISSAN LEAF;7;0;;X;100;21;0; ;X;95,2
NISSAN TIIDA;-;-;-;100;-;400;0;-;64,4;51
OPEL AMPERA;138;0,2;;X;100;241;0; ;X;100
OPEL ASTRA; 6 854;11,7;-;5;79,3; 86 579;10,8;+;19,1;69,3
PEUGEOT 308; 1 229;2,1;+;42,1;73,6; 15 635;1,9;+;1,7;66,1
RENAULT FLUENCE ;16;0;-;81,2;50;774;0,1;+;141,1;62
RENAULT MEGANE   ; 1 824;3,1;+;10,5;69,7; 28 544;3,5;+;3,9;61,5
SKODA OCTAVIA   ; 3 679;6,3;+;24,5;56,2; 46 571;5,8;+;8,4;55,6
SUBARU IMPREZA   ;56;0,1;-;77,6;69,6;911;0,1;-;37,4;59,5
TOYOTA AURIS   ; 1 091;1,9;-;6,2;37,9; 13 376;1,7;-;0,4;25,2
TOYOTA PRIUS   ;192;0,3;+;33,3;46,4; 2 029;0,3;-;41,7;43,5
TOYOTA VERSO   ;626;1,1;+;3;28,8; 7 217;0,9;+;6,8;30,6
VOLVO C30   ;170;0,3;-;29,8;50; 1 619;0,2;-;39,8;55,5
VW BEETLE   ;341;0,6;;X;76,5; 1 356;0,2;-;40,6;90,9
VW EOS   ;143;0,2;+;240,5;62,2; 6 342;0,8;+;19,7;74,9
VW GOLF, JETTA   ; 16 343;27,8;-;3,5;75,2; 258 059;32;+;2,8;64,2
SONSTIGE   ;9;0;;X;100;37;0;-;91,7;75,7
ZUSAMMEN   ; 58 832 ;24,1;+;3,9;67,2; 805 233;25,4;+ ;1,9;60,2
Mittelklasse ; ; ; ;; ; ; ; ;; 
ALFA 159, BRERA, GTV, SPIDER;120;0,3;-;42,9;75,8; 1 838;0,4;-;27,2;61,8
ALPINA D3;34;0,1;;X;32,4;139;0;+;41,8;54
AUDI A4, S4; 3 985;10,9;-;6,7;88,7; 59 056;12,7;-;1,3;81,4
