Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
HYUNDAI I 40   ;421;1,7;-;71,1;89,3; 7 562;2;-;12,4;93,7;
INFINITI G37   ;3;0;;X;66,7;30;0;-;21,1;66,7;
INFINITI Q50;52;0,2;;X;98,1;107;0; ;X;99,1;
INFINITI Q60;5;0;;X;60;6;0; ;X;66,7;
KIA OPTIMA   ;21;0,1;-;69,6;85,7;524;0,1;-;10,3;87,4;
LANCIA FLAVIA   ;2;0;;X;100;85;0;-;29,2;85,9;
LEXUS IS   ;89;0,4;;X;70,8;464;0,1;+;78,5;63,4;
MAZDA 6   ;454;1,8;-;38,3;60,4; 8 841;2,4;+;44,9;55,8;
MERCEDES C-KLASSE; 3 141;12,7;-;12,7;72; 52 433;14,1;-;24,1;64;
MERCEDES CLA-KLASSE;560;2,3;;X;67,7; 10 373;2,8;+;25 200,0;60,7;
OPEL CASCADA   ;184;0,7;;X;84,8; 3 196;0,9; ;X;70,1;
OPEL INSIGNIA   ; 1 627;6,6;+;63;84,4; 16 979;4,6;-;18,8;88,9;
PEUGEOT 508   ;289;1,2;-;34,6;85,8; 4 402;1,2;-;41,1;82,8;
RENAULT LAGUNA   ;188;0,8;-;24,2;88,3; 1 934;0,5;-;44;74,8;
SEAT EXEO   ;22;0,1;-;91,5;95,5; 2 746;0,7;-;39,2;92,4;
SKODA SUPERB   ; 1 234;5;+;30,4;77,6; 14 384;3,9;-;6,5;76,1;
SUBARU LEGACY   ;76;0,3;+;192,3;71,1;703;0,2;-;26,4;68,8;
SUZUKI KIZASHI   ;12;0;-;58,6;91,7;193;0,1;-;57,6;67,4;
TOYOTA AVENSIS, CARINA;380;1,5;-;25,3;60,5; 5 125;1,4;-;38,9;56,7;
VOLVO V50   ;-;-;;X;-;19;0;-;99,4;68,4;
VOLVO 40   ;437;1,8;-;1,6;63,4; 6 567;1,8;+;159;66,6;
VOLVO 60   ;338;1,4;-;14,6;80,5; 4 685;1,3;-;42,2;82,7;
VW PASSAT   ; 4 469;18;-;26;93,8; 72 048;19,3;-;19,3;91,2;
VW SCIROCCO   ;177;0,7;-;24,4;81,4; 3 440;0,9;-;23,1;72,4;
SONSTIGE   ;2;0;;X;-;6;0;-;91,7;50;
ZUSAMMEN   ; 24 783 ;11,5;-;13,6;81,2; 372 817;12,6;- ;12,2;79,5;
Obere Mittelklasse ; ; ; ;; ; ; ; ;; ;
ALPINA B3   ;23;0,2;;X;52,2;149;0,1;+;223,9;65,8;
ALPINA B5   ;2;0;;X;100;29;0;-;47,3;93,1;
ALPINA D5 BITURBO;6;0,1;;X;100;81;0,1;-;35,2;77,8;
AUDI A6, S6, RS6, A7; 3 152;31,9;+;28,3;87; 40 813;30,5;-;22,6;86,7;
BMW 5ER   ; 3 305;33,5;-;14,8;79,7; 44 468;33,2;-;7,6;85,8;
INFINITI M   ;2;0;;X;50;99;0,1;-;38,1;82,8;
